ID;ID_Ocorrencia;Cidade;AeroPorto;Data;Hora;Falha_Ocorrencia;Modelo;Tipo_Motor;Fato_Contribuinte;Aspector;Ano
82886;82886;SP;GUARULHOS;27/11/2023;10:34:00;OPERAÇÕES NO SOLO;A320-232;JATO;Sem Informaçao;Sem Informaçao;2023
82885;82885;MT;SINOP;17/12/2023;03:55:00;POUSO AQUÉM/ALÉM DA PISTA;A319-132;JATO;Sem Informaçao;Sem Informaçao;2023
82884;82884;BA;SALVADOR;28/11/2023;21:25:00;TURBULÊNCIA;737-8EH;JATO;Sem Informaçao;Sem Informaçao;2023
82883;82883;SP;CAMPINAS;24/11/2023;23:14:00;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;A330-941;JATO;Sem Informaçao;Sem Informaçao;2023
82882;82882;SP;GUARULHOS;20/11/2023;09:56:00;OPERAÇÕES NO SOLO;A321-211;JATO;Sem Informaçao;Sem Informaçao;2023
82881;82881;SP;GUARULHOS;28/10/2023;18:58:00;CONTATO ANORMAL COM A PISTA |;737-248C;;Sem Informaçao;Sem Informaçao;2023
82880;82880;AM;MANAUS;25/10/2023;18:45:00;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;ERJ 190-200 IGW;JATO;Sem Informaçao;Sem Informaçao;2023
82879;82879;RS;PORTO ALEGRE;18/11/2023;17:20:00;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;ERJ 190-200 IGW;TURBOEIXO;Sem Informaçao;Sem Informaçao;2023
82878;82878;RS;PORTO ALEGRE;26/10/2023;11:20:00;COLISÃO COM FAUNA;737-8EH;JATO;Sem Informaçao;Sem Informaçao;2023
82877;82877;PE;RECIFE;02/12/2023;10:53:00;FOGO/FUMAÇA (SEM IMPACTO);ATR-72-212A (600);TURBOÉLICE;Sem Informaçao;Sem Informaçao;2023
82876;82876;MG;NOVA BELÉM;16/12/2023;17:40:00;COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO;R44 II;PISTÃO;Sem Informaçao;Sem Informaçao;2023
82874;82874;MT;SÃO JOSÉ DOS QUATRO MARCOS;14/12/2023;12:45:00;OPERAÇÃO A BAIXA ALTITUDE;EMB-201A;PISTÃO;Sem Informaçao;Sem Informaçao;2023
82873;82873;RS;PEDRO OSÓRIO;14/12/2023;19:55:00;PERDA DE CONTROLE EM VOO;A188B;PISTÃO;Sem Informaçao;Sem Informaçao;2023
82872;82872;PA;BELÉM;28/10/2023;10:49:00;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;A320-251N;JATO;Sem Informaçao;Sem Informaçao;2023
82871;82871;SP;CAMPINAS;27/10/2023;15:41:00;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;737-48E;JATO;Sem Informaçao;Sem Informaçao;2023
82870;82870;PE;RECIFE;24/10/2023;15:20:00;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;ATR-72-212A;TURBOÉLICE;Sem Informaçao;Sem Informaçao;2023
82869;82869;SP;GUARULHOS;21/10/2023;04:18:00;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;737-3S3;JATO;Sem Informaçao;Sem Informaçao;2023
82868;82868;PR;SÃO JOSÉ DOS PINHAIS;12/10/2023;18:00:00;TURBULÊNCIA;A320-251N;JATO;Sem Informaçao;Sem Informaçao;2023
82867;82867;AM;MANAUS;08/10/2023;02:00:00;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;767-316F;JATO;Sem Informaçao;Sem Informaçao;2023
82866;82866;SC;FLORIANÓPOLIS;06/10/2023;02:10:00;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;ERJ 190-200 IGW;JATO;Sem Informaçao;Sem Informaçao;2023
82865;82865;RS;PORTO ALEGRE;08/11/2023;14:00:00;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;ATR-72-212A;TURBOÉLICE;Sem Informaçao;Sem Informaçao;2023
82864;82864;SP;BAURU;08/11/2023;01:00:00;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;ATR-72-212A;TURBOÉLICE;Sem Informaçao;Sem Informaçao;2023
82863;82863;MG;CONFINS;13/11/2023;17:20:00;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;A320-214;JATO;Sem Informaçao;Sem Informaçao;2023
82862;82862;SP;GUARULHOS;15/11/2023;10:09:00;OPERAÇÕES NO SOLO;A321-231;JATO;Sem Informaçao;Sem Informaçao;2023
82861;82861;RS;PORTO ALEGRE;03/12/2023;12:06:00;COLISÃO COM AVE;A320-253N;***;Sem Informaçao;Sem Informaçao;2023
82860;82860;RS;PORTO ALEGRE;19/11/2023;14:33:00;COLISÃO COM AVE;A320-251N;***;Sem Informaçao;Sem Informaçao;2023
82859;82859;RJ;RIO DE JANEIRO;20/11/2023;03:01:00;COLISÃO COM AVE;ERJ 190-200LR;JATO;Sem Informaçao;Sem Informaçao;2023
